Timothy Eugene "Tim" Scott  er en amerikansk republikansk politiker. Han er medlem af USA's senat valgt i South Carolina siden 2013 Han var medlem af Repræsentanternes Hus i perioden 2011–2013. Den 19 maj. 2023 meldte han at han stiller op til præsidentvalget i 2024. 1 
AL: Tuberville , Britt 
AK: Murkowski , Sullivan 
AZ: Sinema , Kelly 
AR: Boozman , Cotton 
CA: Feinstein , Padilla 
CO: Bennet , Hickenlooper 
CT: Blumenthal , Murphy 
DE: Carper , Coons 
FL: Rubio , Scott 
GA: Ossoff , Warnock 
HI: Schatz , Hirono 
ID: Crapo , Risch 
IL: Durbin , Duckworth 
IN: Young , Braun 
IA: Grassley , Ernst 
KS: Moran , Marshall 
KY: McConnell , Paul 
LA: Cassidy , Kennedy 
ME: Collins , King 
MD: Cardin , Van Hollen 
MA: Warren , Markey 
MI: Stabenow , Peters 
MN: Klobuchar , Smith 
MS: Wicker , Hyde-Smith 
MO: Hawley , Schmitt 
MT: Tester , Daines 
NE: Fischer , Ricketts 
NV: Cortez Masto , Rosen 
NH: Shaheen , Hassan 
NJ: Menendez , Booker 
NM: Heinrich , Luján 
NY: Schumer , Gillibrand 
NC: Tillis , Budd 
ND: Hoeven , Cramer 
OH: Brown , Vance 
OK: Lankford , Mullin 
OR: Wyden , Merkley 
PA: Casey , Fetterman 
RI: Reed , Whitehouse 
SC: Graham , Scott 
SD: Thune , Rounds 
TN: Blackburn , Hagerty 
TX: Cornyn , Cruz 
UT: Lee , Romney 
VT: Sanders , Welch 
VA: Warner , Kaine 
WA: Murray , Cantwell 
WV: Manchin , Capito 
WI: R. Johnson , Baldwin 
WY: Barrasso , Lummis 
