Jerome Biffle  oli yhdysvaltalainen pituushypyn olympiavoittaja.
Biffle voitti pituushypyn olympiakultaa Helsingin 1952 kisoissa vaatimattomalla tuloksella 757 cm voittaen maanmiehensä Meredith Gourdinen neljällä sentillä. Suurin ennakkosuosikki oli kolmas amerikkalainen George Brown, jonka kaikki kolme pitkää hyppyä olivat yliastuttuja.
1896: Ellery Clark  
1900: Alvin Kraenzlein  
1904: Myer Prinstein  
1908: Frank Irons  
1912: Albert Gutterson  
1920: William Pettersson  
1924: William DeHart Hubbard  
1928: Edward Hamm  
1932: Ed Gordon  
1936: Jesse Owens  
1948: Willie Steele  
1952: Jerome Biffle  
1956: Gregory Bell  
1960: Ralph Boston  
1964: Lynn Davies  
1968: Bob Beamon  
1972: Randy Williams  
1976: Arnie Robinson  
1980: Lutz Dombrowski  
1984: Carl Lewis  
1988: Carl Lewis  
1992: Carl Lewis  
1996: Carl Lewis  
2000: Iván Pedroso  
2004: Dwight Phillips  
2008: Irving Saladino  
2012: Greg Rutherford  
2016: Jeff Henderson  
2020: Miltiádis Tentóglou
